Overall#,Team,Player,Seasons,GP,G,A,TP,PIM,Draft Year,link,playername,position,is_fwd,is_def,is_goalie
1,Chicago Blackhawks,Patrick Kane (F),16,1132,434,766,1200,414,2007,https://www.eliteprospects.com/player/9326/patrick-kane,Patrick Kane ,F,1,0,0
2,Philadelphia Flyers,James van Riemsdyk (F),14,886,290,277,567,354,2007,https://www.eliteprospects.com/player/9324/james-van-riemsdyk,James van Riemsdyk ,F,1,0,0
3,Phoenix Coyotes,Kyle Turris (F),14,776,168,256,424,343,2007,https://www.eliteprospects.com/player/11345/kyle-turris,Kyle Turris ,F,1,0,0
4,Los Angeles Kings,Thomas Hickey (D),9,456,22,95,117,190,2007,https://www.eliteprospects.com/player/11617/thomas-hickey,Thomas Hickey ,D,0,1,0
5,Washington Capitals,Karl Alzner (D),12,686,20,110,130,219,2007,https://www.eliteprospects.com/player/10429/karl-alzner,Karl Alzner ,D,0,1,0
6,Edmonton Oilers,Sam Gagner (F),16,989,187,325,512,431,2007,https://www.eliteprospects.com/player/10425/sam-gagner,Sam Gagner ,F,1,0,0
7,Columbus Blue Jackets,Jakub Voracek (F),15,1058,223,583,806,525,2007,https://www.eliteprospects.com/player/9285/jakub-voracek,Jakub Voracek ,F,1,0,0
8,Boston Bruins,Zach Hamill (F),3,20,0,4,4,4,2007,https://www.eliteprospects.com/player/11053/zach-hamill,Zach Hamill ,F,1,0,0
9,San Jose Sharks,Logan Couture (F),14,874,310,349,659,241,2007,https://www.eliteprospects.com/player/11109/logan-couture,Logan Couture ,F,1,0,0
10,Florida Panthers,Keaton Ellerby (D),6,212,4,23,27,88,2007,https://www.eliteprospects.com/player/9333/keaton-ellerby,Keaton Ellerby ,D,0,1,0
11,Carolina Hurricanes,Brandon Sutter (F),14,770,152,137,289,149,2007,https://www.eliteprospects.com/player/9339/brandon-sutter,Brandon Sutter ,F,1,0,0
12,Montréal Canadiens,Ryan McDonagh (D),13,806,71,272,343,312,2007,https://www.eliteprospects.com/player/11458/ryan-mcdonagh,Ryan McDonagh ,D,0,1,0
13,St. Louis Blues,Lars Eller (F),14,898,157,201,358,537,2007,https://www.eliteprospects.com/player/5995/lars-eller,Lars Eller ,F,1,0,0
14,Colorado Avalanche,Kevin Shattenkirk (D),13,839,93,348,441,492,2007,https://www.eliteprospects.com/player/11460/kevin-shattenkirk,Kevin Shattenkirk ,D,0,1,0
15,Edmonton Oilers,Alex Plante (D),3,10,0,2,2,15,2007,https://www.eliteprospects.com/player/11706/alex-plante,Alex Plante ,D,0,1,0
16,Minnesota Wild,Colton Gillies (F),4,154,6,12,18,72,2007,https://www.eliteprospects.com/player/11100/colton-gillies,Colton Gillies ,F,1,0,0
17,New York Rangers,Alexei Cherepanov (F),,,,,,,2007,https://www.eliteprospects.com/player/10626/alexei-cherepanov,Alexei Cherepanov ,F,1,0,0
18,St. Louis Blues,Ian Cole (D),13,693,31,143,174,638,2007,https://www.eliteprospects.com/player/11456/ian-cole,Ian Cole ,D,0,1,0
19,Anaheim Ducks,Logan MacMillan (F),,,,,,,2007,https://www.eliteprospects.com/player/12504/logan-macmillan,Logan MacMillan ,F,1,0,0
20,Pittsburgh Penguins,Angelo Esposito (F),,,,,,,2007,https://www.eliteprospects.com/player/10436/angelo-esposito,Angelo Esposito ,F,1,0,0
21,Edmonton Oilers,Riley Nash (F),11,627,63,113,176,144,2007,https://www.eliteprospects.com/player/12507/riley-nash,Riley Nash ,F,1,0,0
22,Montréal Canadiens,Max Pacioretty (F),15,850,323,319,642,466,2007,https://www.eliteprospects.com/player/12461/max-pacioretty,Max Pacioretty ,F,1,0,0
23,Nashville Predators,Jonathon Blum (D),5,110,7,17,24,22,2007,https://www.eliteprospects.com/player/11597/jonathon-blum,Jonathon Blum ,D,0,1,0
24,Calgary Flames,Mikael Backlund (F),15,852,171,279,450,409,2007,https://www.eliteprospects.com/player/4295/mikael-backlund,Mikael Backlund ,F,1,0,0
25,Vancouver Canucks,Patrick White (F),,,,,,,2007,https://www.eliteprospects.com/player/11470/patrick-white,Patrick White ,F,1,0,0
26,St. Louis Blues,David Perron (F),16,999,277,408,685,732,2007,https://www.eliteprospects.com/player/11123/david-perron,David Perron ,F,1,0,0
27,Detroit Red Wings,Brendan Smith (D),12,597,33,86,119,657,2007,https://www.eliteprospects.com/player/12506/brendan-smith,Brendan Smith ,D,0,1,0
28,San Jose Sharks,Nick Petrecki (D),1,1,0,0,0,0,2007,https://www.eliteprospects.com/player/12207/nick-petrecki,Nick Petrecki ,D,0,1,0
29,Ottawa Senators,Jim O'Brien (F),5,77,8,5,13,16,2007,https://www.eliteprospects.com/player/9319/jim-o-brien,Jim O'Brien ,F,1,0,0
30,Phoenix Coyotes,Nick Ross (D),,,,,,,2007,https://www.eliteprospects.com/player/11099/nick-ross,Nick Ross ,D,0,1,0
31,Buffalo Sabres,T.J. Brennan (D),4,53,5,8,13,29,2007,https://www.eliteprospects.com/player/12169/t.j.-brennan,T.J. Brennan ,D,0,1,0
32,Phoenix Coyotes,Brett MacLean (F),2,18,2,3,5,4,2007,https://www.eliteprospects.com/player/11108/brett-maclean,Brett MacLean ,F,1,0,0
33,Vancouver Canucks,Taylor Ellington (D),,,,,,,2007,https://www.eliteprospects.com/player/11695/taylor-ellington,Taylor Ellington ,D,0,1,0
34,Washington Capitals,Josh Godfrey (D),,,,,,,2007,https://www.eliteprospects.com/player/12512/josh-godfrey,Josh Godfrey ,D,0,1,0
35,Boston Bruins,Tommy Cross (D),2,3,0,1,1,0,2007,https://www.eliteprospects.com/player/11457/tommy-cross,Tommy Cross ,D,0,1,0
36,Phoenix Coyotes,Joel Gistedt (G),,,,,,,2007,https://www.eliteprospects.com/player/2036/joel-gistedt,Joel Gistedt ,G,0,0,1
37,Columbus Blue Jackets,Stefan Legein (F),,,,,,,2007,https://www.eliteprospects.com/player/12460/stefan-legein,Stefan Legein ,F,1,0,0
38,Chicago Blackhawks,Bill Sweatt (F),2,3,0,0,0,0,2007,https://www.eliteprospects.com/player/9322/bill-sweatt,Bill Sweatt ,F,1,0,0
39,St. Louis Blues,Simon Hjalmarsson (F),,,,,,,2007,https://www.eliteprospects.com/player/5009/simon-hjalmarsson,Simon Hjalmarsson ,F,1,0,0
40,Florida Panthers,Michal Repik (F),4,72,9,11,20,36,2007,https://www.eliteprospects.com/player/10481/michal-repik,Michal Repik ,F,1,0,0
41,Philadelphia Flyers,Kevin Marshall (D),1,10,0,0,0,8,2007,https://www.eliteprospects.com/player/12508/kevin-marshall,Kevin Marshall ,D,0,1,0
42,Anaheim Ducks,Eric Tangradi (F),8,150,5,11,16,86,2007,https://www.eliteprospects.com/player/12514/eric-tangradi,Eric Tangradi ,F,1,0,0
43,Montréal Canadiens,P.K. Subban (D),13,834,115,352,467,905,2007,https://www.eliteprospects.com/player/11251/p.k.-subban,P.K. Subban ,D,0,1,0
44,St. Louis Blues,Aaron Palushaj (F),4,68,3,11,14,18,2007,https://www.eliteprospects.com/player/12513/aaron-palushaj,Aaron Palushaj ,F,1,0,0
45,Colorado Avalanche,Colby Cohen (D),1,3,0,0,0,4,2007,https://www.eliteprospects.com/player/12463/colby-cohen,Colby Cohen ,D,0,1,0
46,Washington Capitals,Theo Ruth (D),,,,,,,2007,https://www.eliteprospects.com/player/11459/theo-ruth,Theo Ruth ,D,0,1,0
47,Tampa Bay Lightning,Dana Tyrell (F),5,135,7,17,24,26,2007,https://www.eliteprospects.com/player/11638/dana-tyrell,Dana Tyrell ,F,1,0,0
48,New York Rangers,Antoine Lafleur (G),,,,,,,2007,https://www.eliteprospects.com/player/12121/antoine-lafleur,Antoine Lafleur ,G,0,0,1
49,Colorado Avalanche,Trevor Cann (G),,,,,,,2007,https://www.eliteprospects.com/player/11356/trevor-cann,Trevor Cann ,G,0,0,1
50,Dallas Stars,Nico Sacchetti (F),,,,,,,2007,https://www.eliteprospects.com/player/12509/nico-sacchetti,Nico Sacchetti ,F,1,0,0
51,Pittsburgh Penguins,Keven Veilleux (F),,,,,,,2007,https://www.eliteprospects.com/player/11402/keven-veilleux,Keven Veilleux ,F,1,0,0
52,Los Angeles Kings,Oscar Möller (F),3,87,12,14,26,22,2007,https://www.eliteprospects.com/player/5504/oscar-moller,Oscar Möller ,F,1,0,0
53,Columbus Blue Jackets,Will Weber (D),,,,,,,2007,https://www.eliteprospects.com/player/12515/will-weber,Will Weber ,D,0,1,0
54,Nashville Predators,Jeremy Smith (G),5,10,-,-,-,-,2007,https://www.eliteprospects.com/player/11341/jeremy-smith,Jeremy Smith ,G,0,0,1
55,Colorado Avalanche,T.J. Galiardi (F),7,321,44,61,105,136,2007,https://www.eliteprospects.com/player/12464/t.j.-galiardi,T.J. Galiardi ,F,1,0,0
56,Chicago Blackhawks,Akim Aliu (F),2,7,2,1,3,26,2007,https://www.eliteprospects.com/player/11116/akim-aliu,Akim Aliu ,F,1,0,0
57,New Jersey Devils,Mike Hoeffel (F),,,,,,,2007,https://www.eliteprospects.com/player/12457/mike-hoeffel,Mike Hoeffel ,F,1,0,0
58,Nashville Predators,Nick Spaling (F),7,437,52,72,124,120,2007,https://www.eliteprospects.com/player/12462/nick-spaling,Nick Spaling ,F,1,0,0
