League,NHLe
NHL,1
KHL,0.772
Czech,0.583
SHL,0.566
NLA,0.459
Liiga,0.441
AHL,0.389
DEL,0.352
Allsvenskan,0.351
VHL,0.328
Slovakia,0.295
EBEL,0.269
WJC-20,0.269
France,0.25
Belarus,0.242
Czech2,0.24
EIHL,0.235
LNAH,0.232
DEL2,0.205
Kazakhstan,0.201
NCAA,0.194
Denmark,0.19
Mestis,0.178
NLB,0.176
Italy,0.176
Norway,0.173
ECHL,0.147
OHL,0.144
MHL,0.143
USHL,0.143
WHL,0.141
Poland,0.135
WJC-18,0.135
Russia3,0.135
Usports,0.125
USDP,0.121
QMJHL,0.113
Division-1,0.109
Czech3,0.104
Erste-Liga,0.103
Slovakia2,0.102
Romania,0.099
Superelit,0.091
NAHL,0.087
Germany3,0.085
ALPSHL,0.084
U20 SM-Liiga,0.083
BCHL,0.08
NMHL,0.076
Czech-U20,0.074
AJHL,0.062
EJHL,0.06
Czech U19,0.059
SwissDiv1,0.054
Belarus-Vysshaya,0.052
SJHL,0.052
U20-Elit,0.049
CCHL,0.048
MJHL,0.046
USPHL-Premier,0.046
Slovakia-U20,0.044
Russia-U17,0.044
USPHL-18U,0.041
U18 SM-Sarja,0.04
NAPHL-18U,0.039
Czech U18,0.038
J18 Allsvenskan,0.038
Division-2,0.038
MJAHL,0.037
QJAAAHL,0.036
MPHL,0.035
OJHL,0.034
HPHL-16U,0.034
Slovenia,0.033
Russia-U18,0.032
16U-AAA,0.031
J18-Elit,0.029
USHS-Prep,0.028
QMAAA,0.028
CISAA,0.027
Norway2,0.027
USPHL-16U,0.027
GOJHL,0.027
AYHL-16U,0.026
Russia-U16,0.025
J20-Elit,0.024
USHS-MN,0.024
DNL,0.024
Denmark2,0.023
VIJHL,0.021
NOJHL,0.021
Slovakia-U18,0.02
CAHS,0.02
AMHL,0.02
PIJHL,0.02
KIJHL,0.02
U17-Elit,0.018
II-DivisioonA,0.018
U20-Top,0.017
BCMML,0.016
U16 SM-Sarja,0.015
NSMMHL,0.015
Czech U16,0.014
Denmark-U20,0.013
MMHL,0.013
U16 SM-Sarja-Q,0.012
GTHL-U16,0.012
J20-Div.1,0.011
U16-SM,0.011
U16-ELIT,0.01
Alliance-U16,0.009
GTHL-U18,0.008
J18-Div.1,0.008
Division-4,0.008
QMEAA,0.007
J20-Div.2,0.007
Denmark-U17,0.006
U16-Div.1,0.005
J18-Div.2,0.005
ETAHL U18,0.005
AMMHL,0.005
QBAAA,0.004
AMBHL,0.002
U16-Div.2,0.002
