League,New Name,NHLe,Notes
NHL,NHL,1,
Russia,KHL,0.772,
KHL,KHL,0.772,
Czechia,Czechia,0.583,
Czechia Q,Czechia,0.583,
Czech,Czech,0.583,
Elitserien,SHL,0.566,
SHL,SHL,0.566,
NLA,NL,0.459,
NLA Q,NL,0.459,
NLA,NLA,0.459,
SM-liiga,Liiga,0.441,
Liiga,Liiga,0.441,
AHL,AHL,0.389,
DEL,DEL,0.352,
HockeyAllsvenskan,HockeyAllsvenskan,0.351,
Allsvenskan,Allsvenskan,0.351,
Russia2,VHL,0.328,
VHL,VHL,0.328,
Slovakia,Slovakia,0.295,
WJC-20,WJC-20,0.269,
EBEL,EBEL,0.269,
France,France,0.25,
Belarus,Belarus,0.242,
Czechia2,Czechia2,0.24,
Czech2,Czech2,0.24,
EIHL,EIHL,0.235,
LNAH,LNAH,0.232,
Germany2,DEL 2,0.205,
DEL2,DEL2,0.205,
Kazakhstan,Kazakhstan,0.201,
NCAA,NCAA,0.194,
Latvia,Latvia,0.19,
Denmark,Denmark,0.19,
Mestis,Mestis,0.178,
NLB,SL,0.176,
NLB,NLB,0.176,
Italy,Italy,0.176,
Norway,Norway,0.173,
ECHL,ECHL,0.147,U-18 Team in DNL before divisions (Top Junior League in Germany)
OHL,OHL,0.144,
USHL,USHL,0.143,
MHL,MHL,0.143,
WHL,WHL,0.141,
WJC-18,WJC-18,0.135,
Russia3,Russia3,0.135,
Poland,Poland,0.135,remove
Usports,Usports,0.125,
USDP,USDP,0.121,
QMJHL,QMJHL,0.113,
Division 1,HockeyEttan,0.109,
HockeyEttan,HockeyEttan,0.109,
Division-1,Division-1,0.109,
Czech3,Czech3,0.104,
Erste-Liga,Erste-Liga,0.103,
Slovakia2,Slovakia2,0.102,
Romania,Romania,0.099,
J20 SuperElit,J20 Nationell,0.091,MWEHL (T1EHL 18U)
Superelit,Superelit,0.091,
NAHL,NAHL,0.087,
Germany3,Oberliga,0.085,
Germany3,Germany3,0.085,
ALPSHL,ALPSHL,0.084,
U20 SM-liiga,U20 SM-sarja,0.083,
U20 SM-Liiga,U20 SM-Liiga,0.083,
BCHL,BCHL,0.08,
