playername,GP,PIM,DY League NHLe,DY League NHLe Per 82GP,Total PIM Per 82GP,Overall#,Team,Player,Draft Year,is_def,link,rights,status,dob,height,weight,birthplace,nation,shoots,draft,Birth City,Birth State/Province,draft_age
A.J. Greer,37,18,1.4,3.1,39.9,39,Colorado Avalanche,A.J. Greer (F),2015,0,https://www.eliteprospects.com/player/151125/a.j.-greer,Boston Bruins,Signed,1996-12-14,"6'3""",93 kg / 205,"Joliette, QC, CAN",Canada,L,2015 round 2 #39 overall by Colorado Avalanche,Joliette, ,10.5
A.J. Jenks,68,94,7.9,9.5,113.4,100,Florida Panthers,A.J. Jenks (F),2008,0,https://www.eliteprospects.com/player/14643/a.j.-jenks,-,-,1990-06-27,"6'2""",93 kg / 205,"Wolverine Lake, MI, USA",USA,L,2008 round 4 #100 overall by Florida Panthers,Wolverine Lake, ,17.0
Aaron Ekblad,65,93,8.1,10.2,117.3,1,Florida Panthers,Aaron Ekblad (D),2014,1,https://www.eliteprospects.com/player/49042/aaron-ekblad,Florida Panthers,Signed,1996-02-07,"6'4""",98 kg / 216,"Windsor, ON, CAN",Canada,R,2014 round 1 #1 overall by Florida Panthers,Windsor, ,11.4
Aaron Harstad,51,73,3.0,4.8,117.4,187,Winnipeg Jets,Aaron Harstad (D),2011,1,https://www.eliteprospects.com/player/37787/aaron-harstad,-,-,1992-04-27,"6'2""",90 kg / 198,"Stevens Point, WI, USA",USA,L,2011 round 7 #187 overall by Winnipeg Jets,Stevens Point, ,15.2
Aaron Haydon,61,112,2.3,3.1,150.6,154,Dallas Stars,Aaron Haydon (D),2014,1,https://www.eliteprospects.com/player/189374/aaron-haydon,-,-,1996-02-06,"6'4""",91 kg / 201,"Plymouth, MI, USA",USA,R,2014 round 6 #154 overall by Dallas Stars,Plymouth, ,11.4
Aaron Irving,63,88,4.2,5.5,114.5,162,Nashville Predators,Aaron Irving (D),2014,1,https://www.eliteprospects.com/player/84245/aaron-irving,-,-,1996-03-03,"6'1""",93 kg / 205,"Edmonton, AB, CAN",Canada,R,2014 round 6 #162 overall by Nashville Predators,Edmonton, ,11.3
Aaron Ness,47,20,3.2,5.6,34.9,40,New York Islanders,Aaron Ness (D),2008,1,https://www.eliteprospects.com/player/17497/aaron-ness,-,-,1990-05-18,"5'10""",83 kg / 183,"Bemidji, MN, USA",USA,L,2008 round 2 #40 overall by New York Islanders,Bemidji, ,17.1
Aaron Palushaj,56,62,9.6,14.1,90.8,44,St. Louis Blues,Aaron Palushaj (F),2007,0,https://www.eliteprospects.com/player/12513/aaron-palushaj,-,-,1989-09-07,"6'0""",87 kg / 192,"Livonia, MI, USA",USA,R,2007 round 2 #44 overall by St. Louis Blues,Livonia, ,17.8
Adam Almquist,55,54,3.3,4.9,80.5,210,Detroit Red Wings,Adam Almquist (D),2009,1,https://www.eliteprospects.com/player/10378/adam-almquist,-,-,1991-02-27,"5'11""",77 kg / 170,"Jönköping, SWE",Sweden,L,2009 round 7 #210 overall by Detroit Red Wings,Jönköping, ,16.3
Adam Clendening,39,80,5.0,10.5,168.2,36,Chicago Blackhawks,Adam Clendening (D),2011,1,https://www.eliteprospects.com/player/20714/adam-clendening,-,-,1992-10-26,"6'0""",88 kg / 194,"Niagara Falls, NY, USA",USA,R,2011 round 2 #36 overall by Chicago Blackhawks,Niagara Falls, ,14.7
Adam Comrie,58,90,4.0,5.7,127.2,80,Florida Panthers,Adam Comrie (D),2008,1,https://www.eliteprospects.com/player/18598/adam-comrie,-,-,1990-07-31,"6'5""",98 kg / 216,"Kanata, ON, CAN",USA,L,2008 round 3 #80 overall by Florida Panthers,Kanata, ,16.9
