playername,GP,PIM,DY League NHLe,DY League NHLe Per 82GP,Total PIM Per 82GP,Overall#,Team,Player,Draft Year,is_def,link,rights,status,dob,height,height _inches,weight,weight_pounds,birthplace,nation,shoots,draft,Birth City,new draft_age,redraft
A.J. Greer ,37,18,1.4,3.1,39.9,39,Colorado Avalanche,A.J. Greer (F),2015,0,https://www.eliteprospects.com/player/151125/a.j.-greer,Boston Bruins,Signed,12/14/1996,"6'3""",75,93 kg / 205,205,"Joliette, QC, CAN",Canada,L,2015 round 2 #39 overall by Colorado Avalanche,Joliette,18.5,FALSE
A.J. Jenks ,68,94,7.9,9.5,113.4,100,Florida Panthers,A.J. Jenks (F),2008,0,https://www.eliteprospects.com/player/14643/a.j.-jenks,-,-,6/27/1990,"6'2""",74,93 kg / 205,205,"Wolverine Lake, MI, USA",USA,L,2008 round 4 #100 overall by Florida Panthers,Wolverine Lake,18.0,FALSE
Emile Poirier ,65,101,7.9,10,127.4,22,Calgary Flames,Ã‰mile Poirier (F),2013,0,https://www.eliteprospects.com/player/128977/emile-poirier,-,-,12/14/1994,"6'2""",74,89 kg / 196,196,"MontrÃ©al, QC, CAN",Canada,L,2013 round 1 #22 overall by Calgary Flames,MontrÃ©al,18.6,FALSE
Eric Gelinas ,67,80,4.4,5.4,97.9,54,New Jersey Devils,Ã‰ric GÃ©linas (D),2009,1,https://www.eliteprospects.com/player/37536/eric-gelinas,-,-,5/8/1991,"6'4""",76,98 kg / 216,216,"Vanier, ON, CAN",Canada,L,2009 round 2 #54 overall by New Jersey Devils,Vanier,18.1,FALSE
Aaron Ekblad ,65,93,8.1,10.2,117.3,1,Florida Panthers,Aaron Ekblad (D),2014,1,https://www.eliteprospects.com/player/49042/aaron-ekblad,Florida Panthers,Signed,2/7/1996,"6'4""",76,98 kg / 216,216,"Windsor, ON, CAN",Canada,R,2014 round 1 #1 overall by Florida Panthers,Windsor,18.4,FALSE
Aaron Harstad ,51,73,3,4.8,117.4,187,Winnipeg Jets,Aaron Harstad (D),2011,1,https://www.eliteprospects.com/player/37787/aaron-harstad,-,-,4/27/1992,"6'2""",74,90 kg / 198,198,"Stevens Point, WI, USA",USA,L,2011 round 7 #187 overall by Winnipeg Jets,Stevens Point,19.2,FALSE
Aaron Haydon ,61,112,2.3,3.1,150.6,154,Dallas Stars,Aaron Haydon (D),2014,1,https://www.eliteprospects.com/player/189374/aaron-haydon,-,-,2/6/1996,"6'4""",76,91 kg / 201,201,"Plymouth, MI, USA",USA,R,2014 round 6 #154 overall by Dallas Stars,Plymouth,18.4,FALSE
Aaron Irving ,63,88,4.2,5.5,114.5,162,Nashville Predators,Aaron Irving (D),2014,1,https://www.eliteprospects.com/player/84245/aaron-irving,-,-,3/3/1996,"6'1""",73,93 kg / 205,205,"Edmonton, AB, CAN",Canada,R,2014 round 6 #162 overall by Nashville Predators,Edmonton,18.3,FALSE
Aaron Ness ,47,20,3.2,5.6,34.9,40,New York Islanders,Aaron Ness (D),2008,1,https://www.eliteprospects.com/player/17497/aaron-ness,-,-,5/18/1990,"5'10""",70,83 kg / 183,183,"Bemidji, MN, USA",USA,L,2008 round 2 #40 overall by New York Islanders,Bemidji,18.1,FALSE
Aaron Palushaj ,56,62,9.6,14.1,90.8,44,St. Louis Blues,Aaron Palushaj (F),2007,0,https://www.eliteprospects.com/player/12513/aaron-palushaj,-,-,9/7/1989,"6'0""",72,87 kg / 192,192,"Livonia, MI, USA",USA,R,2007 round 2 #44 overall by St. Louis Blues,Livonia,17.8,FALSE
Adam Almquist ,55,54,3.3,4.9,80.5,210,Detroit Red Wings,Adam Almquist (D),2009,1,https://www.eliteprospects.com/player/10378/adam-almquist,-,-,2/27/1991,"5'11""",71,77 kg / 170,170,"JÃ¶nkÃ¶ping, SWE",Sweden,L,2009 round 7 #210 overall by Detroit Red Wings,JÃ¶nkÃ¶ping,18.3,FALSE
Adam Clendening ,39,80,5,10.5,168.2,36,Chicago Blackhawks,Adam Clendening (D),2011,1,https://www.eliteprospects.com/player/20714/adam-clendening,-,-,10/26/1992,"6'0""",72,88 kg / 194,194,"Niagara Falls, NY, USA",USA,R,2011 round 2 #36 overall by Chicago Blackhawks,Niagara Falls,18.7,FALSE
Adam Comrie ,58,90,4,5.7,127.2,80,Florida Panthers,Adam Comrie (D),2008,1,https://www.eliteprospects.com/player/18598/adam-comrie,-,-,7/31/1990,"6'5""",77,98 kg / 216,216,"Kanata, ON, CAN",USA,L,2008 round 3 #80 overall by Florida Panthers,Kanata,17.9,FALSE
Adam Erne ,68,67,8.1,9.8,80.8,33,Tampa Bay Lightning,Adam Erne (F),2013,0,https://www.eliteprospects.com/player/90359/adam-erne,Detroit Red Wings,Signed,4/20/1995,"6'1""",73,96 kg / 212,212,"New Haven, CT, USA",USA,L,2013 round 2 #33 overall by Tampa Bay Lightning,New Haven,18.2,FALSE
Adam Gaudette ,50,55,4.3,7.1,90.2,149,Vancouver Canucks,Adam Gaudette (F),2015,0,https://www.eliteprospects.com/player/203361/adam-gaudette,Toronto Maple Leafs,Signed,10/3/1996,"6'1""",73,77 kg / 170,170,"Braintree, MA, USA",USA,R,2015 round 5 #149 overall by Vancouver Canucks,Braintree,18.7,FALSE
Adam Gilmour ,26,28,1.6,5,88.3,98,Minnesota Wild,Adam Gilmour (F),2012,0,https://www.eliteprospects.com/player/190084/adam-gilmour,-,-,1/29/1994,"6'4""",76,83 kg / 183,183,"Albany, NY, USA",USA,R,2012 round 4 #98 overall by Minnesota Wild,Albany,18.4,FALSE
Adam Helewka ,69,59,12.3,14.6,70.1,106,San Jose Sharks,Adam Helewka (F),2015,0,https://www.eliteprospects.com/player/119394/adam-helewka,-,-,7/21/1995,"6'2""",74,93 kg / 205,205,"Burnaby, BC, CAN",Canada,L,2015 round 4 #106 overall by San Jose Sharks,Burnaby,19.9,FALSE
Adam Henrique ,66,28,6.3,7.8,34.8,82,New Jersey Devils,Adam Henrique (F),2008,0,https://www.eliteprospects.com/player/19043/adam-henrique,Anaheim Ducks,Signed,2/6/1990,"6'0""",72,88 kg / 194,194,"Brantford, ON, CAN",Canada,L,2008 round 3 #82 overall by New Jersey Devils,Brantford,18.4,FALSE
Adam Janosik ,63,45,4,5.2,58.6,72,Tampa Bay Lightning,Adam Janosik (D),2010,1,https://www.eliteprospects.com/player/34749/adam-janosik,-,-,9/7/1992,"5'11""",71,83 kg / 183,183,"Spisska Nova Ves, SVK",Slovakia,L,2010 round 3 #72 overall by Tampa Bay Lightning,Spisska Nova Ves,17.8,FALSE
Adam Larsson ,58,91,6.2,8.8,128.7,4,New Jersey Devils,Adam Larsson (D),2011,1,https://www.eliteprospects.com/player/10713/adam-larsson,Seattle Kraken,Signed,11/12/1992,"6'3""",75,95 kg / 209,209,"SkellefteÃ¥, SWE",Sweden,R,2011 round 1 #4 overall by New Jersey Devils,SkellefteÃ¥,18.6,FALSE
Adam Lowry ,66,84,6.3,7.8,104.4,67,Winnipeg Jets,Adam Lowry (F),2011,0,https://www.eliteprospects.com/player/45633/adam-lowry,Winnipeg Jets,Signed,3/29/1993,"6'5""",77,95 kg / 209,209,"St. Louis, MO, USA",Canada,L,2011 round 3 #67 overall by Winnipeg Jets,St. Louis,18.2,FALSE
Adam Marsh ,60,57,5,6.8,77.9,200,Detroit Red Wings,Adam Marsh (F),2015,0,https://www.eliteprospects.com/player/234343/adam-marsh,-,-,8/22/1997,"6'1""",73,79 kg / 174,174,"Chicago, IL, USA",USA,L,2015 round 7 #200 overall by Detroit Red Wings,Chicago,17.9,FALSE
